"Campaign","Ad Group","Status","Max CPC"
"VL | Marca","Marca","Enabled","2.50"
"VL | Tráfego Pago","Gestão de Tráfego","Enabled","10.00"
"VL | Tráfego Pago","Google Ads","Enabled","10.00"
"VL | Tráfego Pago","Meta Ads","Enabled","9.00"
"VL | Robô WhatsApp IA","Chatbot Atendimento","Enabled","6.00"
"VL | Robô WhatsApp IA","IA Atendimento","Enabled","6.00"
"VL | Robô WhatsApp IA","IA Vendas","Enabled","6.00"
"VL | Sites","Criação de Site","Enabled","8.00"
"VL | Sites","Landing Page","Enabled","8.00"
"VL | Agência","Agência Marketing","Enabled","10.00"
"VL | Automação IA","Automação de Processos","Enabled","8.00"
"VL | Automação IA","Agente de IA Sob Medida","Enabled","8.00"
"VL | Automação IA","Empresa de Automação IA","Enabled","9.00"
"VL | Automação IA","Integração e Tarefas","Enabled","7.00"
