"Campaign","Ad Group","Keyword","Criterion Type"
"VL | Robô WhatsApp IA","","whatsapp gb","Negative Phrase"
"VL | Robô WhatsApp IA","","whatsapp plus","Negative Phrase"
"VL | Robô WhatsApp IA","","baixar whatsapp","Negative Phrase"
"VL | Robô WhatsApp IA","","atualizar whatsapp","Negative Phrase"
"VL | Robô WhatsApp IA","","figurinha","Negative Phrase"
"VL | Robô WhatsApp IA","","figurinhas","Negative Phrase"
"VL | Robô WhatsApp IA","","status whatsapp","Negative Phrase"
"VL | Robô WhatsApp IA","","recuperar whatsapp","Negative Phrase"
"VL | Robô WhatsApp IA","","clonar whatsapp","Negative Phrase"
"VL | Sites","","wix","Negative Phrase"
"VL | Sites","","wordpress","Negative Phrase"
"VL | Sites","","hostinger","Negative Phrase"
"VL | Sites","","hospedagem","Negative Phrase"
"VL | Sites","","dominio","Negative Phrase"
"VL | Sites","","criar site gratis","Negative Phrase"
"VL | Sites","","site gratuito","Negative Phrase"
"VL | Sites","","construtor de site","Negative Phrase"
"VL | Sites","","fazer site sozinho","Negative Phrase"
"VL | Tráfego Pago","","curso de trafego pago","Negative Phrase"
"VL | Tráfego Pago","","formacao gestor de trafego","Negative Phrase"
"VL | Tráfego Pago","","como ser gestor de trafego","Negative Phrase"
"VL | Tráfego Pago","","mentoria trafego pago","Negative Phrase"
"VL | Tráfego Pago","","vaga gestor de trafego","Negative Phrase"
