"Campaign","Ad Group","Keyword","Criterion Type"
"VL | Robô WhatsApp IA","","whatsapp gb","Negative Phrase"
"VL | Robô WhatsApp IA","","whatsapp plus","Negative Phrase"
"VL | Robô WhatsApp IA","","baixar whatsapp","Negative Phrase"
"VL | Robô WhatsApp IA","","atualizar whatsapp","Negative Phrase"
"VL | Robô WhatsApp IA","","figurinha","Negative Phrase"
"VL | Robô WhatsApp IA","","figurinhas","Negative Phrase"
"VL | Robô WhatsApp IA","","status whatsapp","Negative Phrase"
"VL | Robô WhatsApp IA","","recuperar whatsapp","Negative Phrase"
"VL | Robô WhatsApp IA","","clonar whatsapp","Negative Phrase"
"VL | Sites","","wix","Negative Phrase"
"VL | Sites","","wordpress","Negative Phrase"
"VL | Sites","","hostinger","Negative Phrase"
"VL | Sites","","hospedagem","Negative Phrase"
"VL | Sites","","dominio","Negative Phrase"
"VL | Sites","","criar site gratis","Negative Phrase"
"VL | Sites","","site gratuito","Negative Phrase"
"VL | Sites","","construtor de site","Negative Phrase"
"VL | Sites","","fazer site sozinho","Negative Phrase"
"VL | Tráfego Pago","","curso de trafego pago","Negative Phrase"
"VL | Tráfego Pago","","formacao gestor de trafego","Negative Phrase"
"VL | Tráfego Pago","","como ser gestor de trafego","Negative Phrase"
"VL | Tráfego Pago","","mentoria trafego pago","Negative Phrase"
"VL | Tráfego Pago","","vaga gestor de trafego","Negative Phrase"
"VL | Automação IA","","curso","Negative Phrase"
"VL | Automação IA","","cursos","Negative Phrase"
"VL | Automação IA","","gratis","Negative Phrase"
"VL | Automação IA","","gratuito","Negative Phrase"
"VL | Automação IA","","tutorial","Negative Phrase"
"VL | Automação IA","","como criar","Negative Phrase"
"VL | Automação IA","","o que e","Negative Phrase"
"VL | Automação IA","","chatgpt","Negative Phrase"
"VL | Automação IA","","gpt","Negative Phrase"
"VL | Automação IA","","prompt","Negative Phrase"
"VL | Automação IA","","zapier","Negative Phrase"
"VL | Automação IA","","make","Negative Phrase"
"VL | Automação IA","","n8n","Negative Phrase"
"VL | Automação IA","","power automate","Negative Phrase"
"VL | Automação IA","","uipath","Negative Phrase"
"VL | Automação IA","","python","Negative Phrase"
"VL | Automação IA","","programacao","Negative Phrase"
"VL | Automação IA","","faculdade","Negative Phrase"
"VL | Automação IA","","vaga","Negative Phrase"
"VL | Automação IA","","emprego","Negative Phrase"
"VL | Automação IA","","freelancer","Negative Phrase"
"VL | Automação IA","","chat ia","Negative Phrase"
"VL | Automação IA","","namorado virtual","Negative Phrase"
"VL | Automação IA","","assistente de ia","Negative Phrase"
"VL | Automação IA","","character ai","Negative Phrase"
"VL | Automação IA","","robo aspirador","Negative Phrase"
"VL | Automação IA","","robo de trade","Negative Phrase"
"VL | Automação IA","","excel","Negative Phrase"
"VL | Automação IA","","vba","Negative Phrase"
"VL | Automação IA","","planilha","Negative Phrase"
"VL | Robô WhatsApp IA","","chatgpt","Negative Phrase"
"VL | Robô WhatsApp IA","","chat gpt","Negative Phrase"
"VL | Robô WhatsApp IA","","gpt","Negative Phrase"
"VL | Robô WhatsApp IA","","chat ia","Negative Phrase"
"VL | Robô WhatsApp IA","","ia gratis","Negative Phrase"
"VL | Robô WhatsApp IA","","ia gratuito","Negative Phrase"
"VL | Robô WhatsApp IA","","inteligencia artificial gratis","Negative Phrase"
"VL | Robô WhatsApp IA","","namorado virtual","Negative Phrase"
"VL | Robô WhatsApp IA","","namorada virtual","Negative Phrase"
"VL | Robô WhatsApp IA","","assistente de ia","Negative Phrase"
"VL | Robô WhatsApp IA","","assistente virtual","Negative Phrase"
"VL | Robô WhatsApp IA","","typebot","Negative Phrase"
"VL | Robô WhatsApp IA","","character ai","Negative Phrase"
"VL | Robô WhatsApp IA","","falar com ia","Negative Phrase"
"VL | Robô WhatsApp IA","","conversar com ia","Negative Phrase"
"VL | Robô WhatsApp IA","","robozinho","Negative Phrase"
"VL | Robô WhatsApp IA","","como criar","Negative Phrase"
"VL | Robô WhatsApp IA","","app de ia","Negative Phrase"
"VL | Robô WhatsApp IA","","bot gratis","Negative Phrase"
"VL | Automação IA","","industrial","Negative Phrase"
"VL | Automação IA","","predial","Negative Phrase"
"VL | Automação IA","","residencial","Negative Phrase"
"VL | Automação IA","","residencia","Negative Phrase"
"VL | Automação IA","","residência","Negative Phrase"
"VL | Automação IA","","portao","Negative Phrase"
"VL | Automação IA","","portão","Negative Phrase"
"VL | Automação IA","","clp","Negative Phrase"
"VL | Automação IA","","plc","Negative Phrase"
"VL | Automação IA","","eletrica","Negative Phrase"
"VL | Automação IA","","elétrica","Negative Phrase"
"VL | Automação IA","","ar condicionado","Negative Phrase"
"VL | Automação IA","","iluminacao","Negative Phrase"
"VL | Automação IA","","iluminação","Negative Phrase"
"VL | Automação IA","","casa","Negative Phrase"
"VL | Automação IA","","como usar","Negative Phrase"
"VL | Automação IA","","manual","Negative Phrase"
"VL | Automação IA","","plataforma","Negative Phrase"
"VL | Automação IA","","fazer tarefa","Negative Phrase"
"VL | Automação IA","","inteligencia ia","Negative Phrase"
"VL | Automação IA","","ia tecnologia","Negative Phrase"
