"Campaign","Ad Group","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Headline 9","Headline 10","Headline 11","Headline 12","Description 1","Description 2","Description 3","Description 4","Path 1","Path 2","Final URL"
"VL | Marca","Marca","Vértice Labs","Site Oficial Vértice Labs","Agência de Performance","Sua Máquina de Vendas","Diagnóstico Gratuito","Tráfego, Site, IA e SEO","Foco em Venda Real","100% Online no Brasil","Fale com a Vértice Labs","Ecossistema de Vendas","","","A máquina de vendas integrada: tráfego, site que converte e IA. Diagnóstico grátis.","Tráfego pago, sites de alta conversão e atendimento com IA num só ecossistema.","Pare de gastar e comece a vender com previsibilidade. Solicite seu diagnóstico.","100% online, atendemos todo o Brasil. Resultado com transparência total.","agencia","diagnostico","https://verticelabs.iafunil.com.br/"
"VL | Tráfego Pago","Gestão de Tráfego","Agência de Tráfego Pago","Gestão de Tráfego Pago","Gestão Profissional de Ads","Foco em Venda, Não Curtida","Lead Qualificado e Barato","Pare de Gastar Sem Vender","Custo por Lead Sob Controle","Otimização Diária da Verba","Diagnóstico Gratuito","Google e Meta no Mesmo Plano","ROI Que Você Consegue Prever","100% Online no Brasil","Gestão de Google e Meta Ads que mira venda, não vaidade. Diagnóstico gratuito.","Atraia o cliente certo, baixe o custo por lead e tenha retorno previsível.","Anúncio + site que converte + atendimento por IA 24h. Ecossistema completo.","Sem pacote engessado. Estratégia sob medida. Solicite seu diagnóstico grátis.","trafego-pago","diagnostico","https://verticelabs.iafunil.com.br/trafego-pago"
"VL | Tráfego Pago","Google Ads","Agência de Google Ads","Gestão de Google Ads","Especialista em Google Ads","Anuncie no Google e Venda","Apareça no Topo do Google","Lead Qualificado no Google","Diagnóstico Gratuito","Foco em Venda, Não Curtida","Campanha Otimizada Todo Dia","100% Online no Brasil","","","Gestão profissional de Google Ads focada em lead qualificado e venda real.","Apareça para quem procura você no Google. Diagnóstico gratuito sem compromisso.","Otimização diária por custo por lead. Você prevê o retorno todo mês.","Pesquisa, Display e YouTube geridos de ponta a ponta. Fale com a Vértice.","google-ads","diagnostico","https://verticelabs.iafunil.com.br/trafego-pago"
"VL | Tráfego Pago","Meta Ads","Anuncie no Instagram","Gestão de Meta Ads","Tráfego para Instagram","Anúncios no Instagram","Facebook e Instagram Ads","Lead Qualificado e Barato","Foco em Venda, Não Curtida","Diagnóstico Gratuito","Campanha Otimizada Todo Dia","100% Online no Brasil","","","Gestão de anúncios no Instagram e Facebook focada em venda, não em curtida.","Alcance o cliente certo no Meta e transforme seguidor em comprador.","Criativo, público e verba geridos para baixar seu custo por lead.","Diagnóstico gratuito: descubra onde sua verba está vazando. 100% online.","meta-ads","diagnostico","https://verticelabs.iafunil.com.br/trafego-pago"
"VL | Robô WhatsApp IA","Chatbot Atendimento","Chatbot para WhatsApp","Atendimento Automático","Robô de Atendimento 24h","Nunca Perca um Lead","Responda em Segundos","WhatsApp Automatizado","Atendimento por IA 24h","Implantamos e Gerimos","Diagnóstico Gratuito","100% Online no Brasil","","","Robô com IA que responde, qualifica e agenda no WhatsApp 24h por dia.","Nunca mais perca venda por demora. Atendimento automático na hora.","Implantamos, treinamos e gerimos o robô pela sua operação. Fale agora.","Atende no WhatsApp e no Direct do Instagram. Diagnóstico gratuito.","atendimento-ia","whatsapp","https://verticelabs.iafunil.com.br/robo-whatsapp"
"VL | Robô WhatsApp IA","IA Atendimento","Atendimento com IA","IA para WhatsApp","Agente de IA 24h","Inteligência no Atendimento","Robô com IA no WhatsApp","Responde em Segundos","Nunca Perca um Lead","Implantamos e Gerimos","Diagnóstico Gratuito","100% Online no Brasil","","","Agente de IA que atende, qualifica e agenda seus leads 24 horas por dia.","Inteligência artificial no WhatsApp e no Direct, sem você configurar nada.","Implantamos e gerimos a IA pela sua operação. Atendimento na hora.","Transforme cada lead do anúncio em conversa atendida. Diagnóstico grátis.","atendimento-ia","whatsapp","https://verticelabs.iafunil.com.br/robo-whatsapp"
"VL | Robô WhatsApp IA","IA Vendas","IA para Vendas","Automação de Vendas","Robô que Qualifica Lead","SDR com IA 24h","Venda Mais no WhatsApp","Qualifica e Agenda Sozinho","Nunca Perca um Lead","Diagnóstico Gratuito","Implantamos e Gerimos","100% Online no Brasil","","","Agente de IA que qualifica e agenda seus leads automaticamente no WhatsApp.","Sua operação comercial respondendo em segundos, 24 horas por dia.","Mais reuniões marcadas sem aumentar o time. Implantamos e gerimos tudo.","Transforme o lead do anúncio em venda. Solicite seu diagnóstico gratuito.","ia-vendas","whatsapp","https://verticelabs.iafunil.com.br/robo-whatsapp"
"VL | Sites","Criação de Site","Criação de Sites","Site Profissional","Criação de Site que Vende","Site para Empresa","Sites de Alta Conversão","Site Feito para Vender","Página Rápida e Persuasiva","Diagnóstico Gratuito","Foco em Conversão","100% Online no Brasil","","","Sites profissionais feitos para converter visita em cliente, não só decorar.","Páginas rápidas e persuasivas, com uma única missão: gerar oportunidade.","A base de toda campanha que dá resultado. Solicite seu diagnóstico grátis.","Criação de site para empresa com foco total em venda. 100% online.","criacao-sites","diagnostico","https://verticelabs.iafunil.com.br/sites-de-alta-conversao"
"VL | Sites","Landing Page","Criação de Landing Page","Landing Page que Converte","Página de Vendas","Site de Alta Conversão","Página de Captura de Lead","Feita para Converter","Site que Vende por Você","Diagnóstico Gratuito","Foco em Conversão","100% Online no Brasil","","","Landing pages de alta conversão para transformar clique em oportunidade.","Página de vendas rápida e persuasiva, feita para uma única missão: converter.","O destino certo para o seu tráfego pago. Diagnóstico gratuito sem compromisso.","Criação de página de captura focada em gerar lead qualificado. 100% online.","landing-page","conversao","https://verticelabs.iafunil.com.br/sites-de-alta-conversao"
"VL | Agência","Agência Marketing","Agência de Marketing","Marketing de Performance","Agência Digital Completa","Sua Máquina de Vendas","Tráfego, Site, IA e SEO","Foco em Venda, Não Curtida","Resultado com Previsão","Diagnóstico Gratuito","Ecossistema de Vendas","100% Online no Brasil","","","Agência de marketing de performance: tráfego, site, IA e SEO num só lugar.","Montamos a máquina de vendas que transforma cliques em clientes.","Foco em venda e previsibilidade, não em métrica de vaidade. Diagnóstico grátis.","Um time, um ecossistema, sem peça solta. Atendemos todo o Brasil online.","agencia","diagnostico","https://verticelabs.iafunil.com.br/"
"VL | Automação IA","Automação de Processos","Automação de Processos com IA","A IA Faz o Trabalho Manual","Construído e Gerido por Nós","IA que Age, Não Só Responde","Diagnóstico Gratuito Hoje","Opera 24h, Sem Fila e Sem Erro","Escale Sem Inchar a Equipe","Integra com Seus Sistemas","Sob Medida, Não de Prateleira","Menos Tarefa Manual","100% Online, Todo o Brasil","Fim do Trabalho Repetitivo","Construímos, treinamos e gerimos agentes de IA que assumem o trabalho manual.","A IA executa cadastro, triagem, atendimento e integração 24h. Você acompanha.","Sob medida para o seu processo e conectada aos seus sistemas. Diagnóstico grátis.","Devolva horas para a equipe e escale sem aumentar o custo. Fale com a Vértice Labs.","automacao","ia","https://verticelabs.iafunil.com.br/automacao-ia.html"
"VL | Automação IA","Agente de IA Sob Medida","Agente de IA Sob Medida","A IA Faz o Trabalho Manual","Construído e Gerido por Nós","IA que Age, Não Só Responde","Diagnóstico Gratuito Hoje","Opera 24h, Sem Fila e Sem Erro","Escale Sem Inchar a Equipe","Integra com Seus Sistemas","Sob Medida, Não de Prateleira","Menos Tarefa Manual","100% Online, Todo o Brasil","Fim do Trabalho Repetitivo","Construímos, treinamos e gerimos agentes de IA que assumem o trabalho manual.","A IA executa cadastro, triagem, atendimento e integração 24h. Você acompanha.","Sob medida para o seu processo e conectada aos seus sistemas. Diagnóstico grátis.","Devolva horas para a equipe e escale sem aumentar o custo. Fale com a Vértice Labs.","automacao","ia","https://verticelabs.iafunil.com.br/automacao-ia.html"
"VL | Automação IA","Empresa de Automação IA","Empresa de Automação com IA","A IA Faz o Trabalho Manual","Construído e Gerido por Nós","IA que Age, Não Só Responde","Diagnóstico Gratuito Hoje","Opera 24h, Sem Fila e Sem Erro","Escale Sem Inchar a Equipe","Integra com Seus Sistemas","Sob Medida, Não de Prateleira","Menos Tarefa Manual","100% Online, Todo o Brasil","Fim do Trabalho Repetitivo","Construímos, treinamos e gerimos agentes de IA que assumem o trabalho manual.","A IA executa cadastro, triagem, atendimento e integração 24h. Você acompanha.","Sob medida para o seu processo e conectada aos seus sistemas. Diagnóstico grátis.","Devolva horas para a equipe e escale sem aumentar o custo. Fale com a Vértice Labs.","automacao","ia","https://verticelabs.iafunil.com.br/automacao-ia.html"
"VL | Automação IA","Integração e Tarefas","Integração de Sistemas com IA","A IA Faz o Trabalho Manual","Construído e Gerido por Nós","IA que Age, Não Só Responde","Diagnóstico Gratuito Hoje","Opera 24h, Sem Fila e Sem Erro","Escale Sem Inchar a Equipe","Integra com Seus Sistemas","Sob Medida, Não de Prateleira","Menos Tarefa Manual","100% Online, Todo o Brasil","Fim do Trabalho Repetitivo","Construímos, treinamos e gerimos agentes de IA que assumem o trabalho manual.","A IA executa cadastro, triagem, atendimento e integração 24h. Você acompanha.","Sob medida para o seu processo e conectada aos seus sistemas. Diagnóstico grátis.","Devolva horas para a equipe e escale sem aumentar o custo. Fale com a Vértice Labs.","automacao","ia","https://verticelabs.iafunil.com.br/automacao-ia.html"
