"Campaign","Ad Group","Keyword","Criterion Type"
"VL | Marca","Marca","vertice labs","Exact"
"VL | Marca","Marca","vertice labs agencia","Exact"
"VL | Marca","Marca","agencia vertice labs","Exact"
"VL | Marca","Marca","vertice labs marketing","Exact"
"VL | Marca","Marca","vertice labs","Phrase"
"VL | Tráfego Pago","Gestão de Tráfego","gestao de trafego pago","Exact"
"VL | Tráfego Pago","Gestão de Tráfego","gestor de trafego","Exact"
"VL | Tráfego Pago","Gestão de Tráfego","agencia de trafego pago","Exact"
"VL | Tráfego Pago","Gestão de Tráfego","empresa de trafego pago","Exact"
"VL | Tráfego Pago","Gestão de Tráfego","consultoria de trafego pago","Exact"
"VL | Tráfego Pago","Gestão de Tráfego","gestao de trafego","Exact"
"VL | Tráfego Pago","Gestão de Tráfego","servico de trafego pago","Exact"
"VL | Tráfego Pago","Gestão de Tráfego","gestao de trafego pago para empresas","Phrase"
"VL | Tráfego Pago","Gestão de Tráfego","contratar gestor de trafego","Phrase"
"VL | Tráfego Pago","Gestão de Tráfego","gestor de trafego profissional","Phrase"
"VL | Tráfego Pago","Gestão de Tráfego","especialista em trafego pago","Phrase"
"VL | Tráfego Pago","Gestão de Tráfego","terceirizar trafego pago","Phrase"
"VL | Tráfego Pago","Gestão de Tráfego","profissional de trafego pago","Phrase"
"VL | Tráfego Pago","Gestão de Tráfego","gestao de trafego para pequenas empresas","Phrase"
"VL | Tráfego Pago","Gestão de Tráfego","quanto custa um gestor de trafego","Phrase"
"VL | Tráfego Pago","Gestão de Tráfego","servico de gestao de trafego","Phrase"
"VL | Tráfego Pago","Google Ads","gestao de google ads","Exact"
"VL | Tráfego Pago","Google Ads","agencia google ads","Exact"
"VL | Tráfego Pago","Google Ads","agencia de google ads","Exact"
"VL | Tráfego Pago","Google Ads","anunciar no google","Exact"
"VL | Tráfego Pago","Google Ads","especialista em google ads","Exact"
"VL | Tráfego Pago","Google Ads","consultoria google ads","Exact"
"VL | Tráfego Pago","Google Ads","campanha google ads","Exact"
"VL | Tráfego Pago","Google Ads","como anunciar no google","Phrase"
"VL | Tráfego Pago","Google Ads","criar campanha no google ads","Phrase"
"VL | Tráfego Pago","Google Ads","gerenciar google ads","Phrase"
"VL | Tráfego Pago","Google Ads","google ads para empresas","Phrase"
"VL | Tráfego Pago","Google Ads","fazer anuncio no google","Phrase"
"VL | Tráfego Pago","Google Ads","agencia especializada em google ads","Phrase"
"VL | Tráfego Pago","Google Ads","gestao de campanha google ads","Phrase"
"VL | Tráfego Pago","Google Ads","google adwords agencia","Phrase"
"VL | Tráfego Pago","Google Ads","anuncio no google para empresa","Phrase"
"VL | Tráfego Pago","Meta Ads","gestao de meta ads","Exact"
"VL | Tráfego Pago","Meta Ads","agencia meta ads","Exact"
"VL | Tráfego Pago","Meta Ads","anunciar no instagram","Exact"
"VL | Tráfego Pago","Meta Ads","anunciar no facebook","Exact"
"VL | Tráfego Pago","Meta Ads","trafego pago instagram","Exact"
"VL | Tráfego Pago","Meta Ads","gestor de trafego instagram","Exact"
"VL | Tráfego Pago","Meta Ads","campanha de instagram ads","Phrase"
"VL | Tráfego Pago","Meta Ads","impulsionar instagram para empresa","Phrase"
"VL | Tráfego Pago","Meta Ads","meta ads para empresas","Phrase"
"VL | Tráfego Pago","Meta Ads","facebook ads agencia","Phrase"
"VL | Tráfego Pago","Meta Ads","anuncio no instagram para empresa","Phrase"
"VL | Tráfego Pago","Meta Ads","gestao de anuncios no instagram","Phrase"
"VL | Tráfego Pago","Meta Ads","como anunciar no instagram","Phrase"
"VL | Tráfego Pago","Meta Ads","trafego pago para facebook","Phrase"
"VL | Robô WhatsApp IA","Chatbot Atendimento","chatbot para whatsapp","Exact"
"VL | Robô WhatsApp IA","Chatbot Atendimento","chatbot whatsapp","Exact"
"VL | Robô WhatsApp IA","Chatbot Atendimento","robo para whatsapp","Exact"
"VL | Robô WhatsApp IA","Chatbot Atendimento","robo de atendimento whatsapp","Exact"
"VL | Robô WhatsApp IA","Chatbot Atendimento","atendimento automatico whatsapp","Exact"
"VL | Robô WhatsApp IA","Chatbot Atendimento","automacao de whatsapp","Exact"
"VL | Robô WhatsApp IA","Chatbot Atendimento","bot para whatsapp","Exact"
"VL | Robô WhatsApp IA","Chatbot Atendimento","automacao de atendimento whatsapp","Phrase"
"VL | Robô WhatsApp IA","Chatbot Atendimento","resposta automatica whatsapp empresa","Phrase"
"VL | Robô WhatsApp IA","Chatbot Atendimento","whatsapp automatizado para empresa","Phrase"
"VL | Robô WhatsApp IA","Chatbot Atendimento","sistema de atendimento whatsapp","Phrase"
"VL | Robô WhatsApp IA","Chatbot Atendimento","bot de atendimento para empresa","Phrase"
"VL | Robô WhatsApp IA","Chatbot Atendimento","mensagem automatica whatsapp empresa","Phrase"
"VL | Robô WhatsApp IA","Chatbot Atendimento","atendimento automatizado whatsapp","Phrase"
"VL | Robô WhatsApp IA","IA Atendimento","agente de ia para whatsapp","Exact"
"VL | Robô WhatsApp IA","IA Atendimento","ia para whatsapp","Exact"
"VL | Robô WhatsApp IA","IA Atendimento","atendimento com inteligencia artificial","Exact"
"VL | Robô WhatsApp IA","IA Atendimento","chatbot com ia","Exact"
"VL | Robô WhatsApp IA","IA Atendimento","ia para atendimento ao cliente","Exact"
"VL | Robô WhatsApp IA","IA Atendimento","agente de ia para atendimento","Exact"
"VL | Robô WhatsApp IA","IA Atendimento","inteligencia artificial no whatsapp","Phrase"
"VL | Robô WhatsApp IA","IA Atendimento","robo com inteligencia artificial","Phrase"
"VL | Robô WhatsApp IA","IA Atendimento","ia que atende cliente","Phrase"
"VL | Robô WhatsApp IA","IA Atendimento","chatbot inteligencia artificial","Phrase"
"VL | Robô WhatsApp IA","IA Atendimento","atendimento ao cliente com ia","Phrase"
"VL | Robô WhatsApp IA","IA Atendimento","agente virtual com ia","Phrase"
"VL | Robô WhatsApp IA","IA Vendas","agente de ia para vendas","Exact"
"VL | Robô WhatsApp IA","IA Vendas","automacao de vendas whatsapp","Exact"
"VL | Robô WhatsApp IA","IA Vendas","robo que qualifica lead","Exact"
"VL | Robô WhatsApp IA","IA Vendas","ia para qualificar lead","Exact"
"VL | Robô WhatsApp IA","IA Vendas","automacao de vendas pelo whatsapp","Phrase"
"VL | Robô WhatsApp IA","IA Vendas","sdr com inteligencia artificial","Phrase"
"VL | Robô WhatsApp IA","IA Vendas","ia para vendas pelo whatsapp","Phrase"
"VL | Robô WhatsApp IA","IA Vendas","robo para qualificar leads","Phrase"
"VL | Robô WhatsApp IA","IA Vendas","automacao comercial whatsapp","Phrase"
"VL | Sites","Criação de Site","criacao de sites","Exact"
"VL | Sites","Criação de Site","criacao de site profissional","Exact"
"VL | Sites","Criação de Site","empresa de criacao de sites","Exact"
"VL | Sites","Criação de Site","agencia de criacao de sites","Exact"
"VL | Sites","Criação de Site","desenvolvimento de sites","Exact"
"VL | Sites","Criação de Site","criar site para empresa","Exact"
"VL | Sites","Criação de Site","site para empresa","Exact"
"VL | Sites","Criação de Site","fazer um site profissional","Phrase"
"VL | Sites","Criação de Site","desenvolvimento de site profissional","Phrase"
"VL | Sites","Criação de Site","criacao de site institucional","Phrase"
"VL | Sites","Criação de Site","quanto custa criar um site","Phrase"
"VL | Sites","Criação de Site","empresa que cria site","Phrase"
"VL | Sites","Criação de Site","criacao de site para empresa","Phrase"
"VL | Sites","Criação de Site","site profissional para empresa","Phrase"
"VL | Sites","Criação de Site","orcamento criacao de site","Phrase"
"VL | Sites","Criação de Site","contratar para fazer um site","Phrase"
"VL | Sites","Criação de Site","empresa para criar site","Phrase"
"VL | Sites","Criação de Site","profissional para criar site","Phrase"
"VL | Sites","Criação de Site","quem faz site profissional","Phrase"
