"Campaign","Sitelink Text","Description Line 1","Description Line 2","Final URL"
"","Diagnóstico Gratuito","Descubra onde perde vendas","Sem compromisso, 100% online","https://verticelabs.iafunil.com.br/#diagnostico"
"","Como Funciona","Do diagnóstico ao crescimento","Em 4 passos simples","https://verticelabs.iafunil.com.br/#como"
"","Nossos Serviços","Tráfego, site, IA e marketing","Um ecossistema completo","https://verticelabs.iafunil.com.br/#servicos"
"","Resultados","Números que falam por nós","Foco em venda, não vaidade","https://verticelabs.iafunil.com.br/#resultados"
"","Atendimento com IA","Robô que atende 24h no Whats","Qualifica e agenda sozinho","https://verticelabs.iafunil.com.br/robo-whatsapp"
"","Fale Conosco","Tire suas dúvidas agora","Resposta rápida no WhatsApp","https://verticelabs.iafunil.com.br/#diagnostico"
"VL | Tráfego Pago","Gestão Google Ads","Pesquisa, Display e YouTube","Lead qualificado e barato","https://verticelabs.iafunil.com.br/trafego-pago"
"VL | Tráfego Pago","Gestão Meta Ads","Instagram e Facebook","Anúncio que vende, não curtida","https://verticelabs.iafunil.com.br/trafego-pago"
"VL | Tráfego Pago","O Que Você Recebe","Gestão de ponta a ponta","Relatório claro de custo/lead","https://verticelabs.iafunil.com.br/trafego-pago"
"VL | Tráfego Pago","Diagnóstico Gratuito","Veja onde sua verba vaza","Sem compromisso","https://verticelabs.iafunil.com.br/trafego-pago#diagnostico"
"VL | Robô WhatsApp IA","IA no WhatsApp","Responde em segundos, 24h","Nunca perca um lead","https://verticelabs.iafunil.com.br/robo-whatsapp"
"VL | Robô WhatsApp IA","IA no Instagram","Atende o Direct também","Qualifica e agenda","https://verticelabs.iafunil.com.br/robo-whatsapp"
"VL | Robô WhatsApp IA","Implantação Completa","Implantamos e gerimos tudo","Você não configura nada","https://verticelabs.iafunil.com.br/robo-whatsapp"
"VL | Robô WhatsApp IA","Diagnóstico Gratuito","Veja a IA na prática","Sem compromisso","https://verticelabs.iafunil.com.br/robo-whatsapp#diagnostico"
"VL | Sites","Sites que Convertem","Feitos para vender","Rápidos e persuasivos","https://verticelabs.iafunil.com.br/sites-de-alta-conversao"
"VL | Sites","Landing Pages","O destino do seu tráfego","Alta conversão","https://verticelabs.iafunil.com.br/sites-de-alta-conversao"
"VL | Sites","Orçamento Sob Medida","Sem pacote engessado","Solicite o seu","https://verticelabs.iafunil.com.br/sites-de-alta-conversao#diagnostico"
"VL | Sites","Diagnóstico Gratuito","Veja seu site atual","Análise sem compromisso","https://verticelabs.iafunil.com.br/sites-de-alta-conversao#diagnostico"
